FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
4.2809158174E10,17,1,0,0.0,1,16,0
1.9124558679E11,16,2,0,4.2809158174E10,1,16,14
4.67430875814E11,15,6,0,1.9124558679E11,1,16,15
1.096816759302E12,14,7,0,4.67430875814E11,1,16,14
2.000820806602E12,13,8,0,1.096816759302E12,1,15,15
3.628064628826E12,12,9,0,2.000820806602E12,1,15,14
5.100171299938E12,11,16,0,3.628064628826E12,1,14,14
7.014605742946E12,10,18,0,5.100171299938E12,1,14,15
7.125967770402E12,10,43,0,5.100171299938E12,1,14,15
6.583729560738E12,10,65,0,5.100171299938E12,1,15,16
9.869291914371E12,9,69,0,6.583729560738E12,1,13,14
1.2149339621171E13,8,70,0,9.869291914371E12,1,13,13
1.6113990615871E13,7,83,0,1.2149339621171E13,1,15,14
1.6055878097121E13,7,105,0,1.2149339621171E13,1,14,14
2.1456435618465E13,6,110,0,1.6055878097121E13,1,15,15
1.6055878097121E13,7,153,0,1.2149339621171E13,2,13,13
1.5724784929309E13,7,156,0,1.2149339621171E13,1,15,14
1.6054525426989E13,7,193,0,1.2149339621171E13,1,13,13
2.0798840837613E13,6,197,0,1.6054525426989E13,1,15,15
2.0750384512749E13,6,220,0,1.6054525426989E13,1,15,15
2.0750384512749E13,6,243,0,1.6054525426989E13,2,14,14
2.1100570415085E13,6,245,0,1.6054525426989E13,1,15,15
2.5713183600421E13,5,252,0,2.1100570415085E13,1,15,16
2.5713183600421E13,5,276,0,2.1100570415085E13,2,14,15
2.5713183600421E13,5,279,0,2.1100570415085E13,3,13,14
2.0540212293261E13,6,296,0,1.6054525426989E13,1,15,15
2.1100570415085E13,6,319,0,1.6054525426989E13,2,14,14
2.0999657228205E13,6,321,0,1.6054525426989E13,1,15,15
2.7670825364773E13,5,322,0,2.0999657228205E13,1,15,16
3.3596089569885E13,4,334,0,2.7670825364773E13,1,16,16
2.0798840837613E13,6,399,0,1.6054525426989E13,2,14,14
2.1100570415085E13,6,401,0,1.6054525426989E13,3,13,13
2.1251266027437E13,6,406,0,1.6054525426989E13,1,15,15
2.1050449636845E13,6,432,0,1.6054525426989E13,1,15,15
2.1100570415085E13,6,455,0,1.6054525426989E13,4,12,12
2.1100570415085E13,6,457,0,1.6054525426989E13,5,11,11
2.1100570415085E13,6,459,0,1.6054525426989E13,6,10,10
2.1100570415085E13,6,461,0,1.6054525426989E13,7,9,9
2.1100570415085E13,6,463,0,1.6054525426989E13,8,8,8
2.0542540654317E13,6,465,0,1.6054525426989E13,1,15,15
2.1100570415085E13,6,488,0,1.6054525426989E13,9,7,7
2.1100570415085E13,6,490,0,1.6054525426989E13,10,6,6
2.0541912133485E13,6,497,0,1.6054525426989E13,1,15,15
2.6247407644915E13,5,501,0,2.0541912133485E13,1,15,16
2.0999657228205E13,6,545,0,1.6054525426989E13,2,14,15
2.0798840837613E13,6,547,0,1.6054525426989E13,3,13,14
2.0999657228205E13,6,549,0,1.6054525426989E13,3,13,14
2.1310742634573E13,6,551,0,1.6054525426989E13,1,15,15
1.8516182975E11,16,575,0,4.2809158174E10,1,16,14
4.56278928506E11,15,576,0,1.8516182975E11,1,16,15
1.080702440922E12,14,578,0,4.56278928506E11,1,16,14
2.115959475522E12,13,580,0,1.080702440922E12,1,16,15
3.372576351546E12,12,582,0,2.115959475522E12,1,15,14
5.313573477992E12,11,585,0,3.372576351546E12,1,14,14
7.66119744068E12,10,590,0,5.313573477992E12,1,15,16
7.287179571304E12,10,612,0,5.313573477992E12,1,15,16
9.310235960347E12,9,613,0,7.287179571304E12,1,14,15
1.2426587088947E13,8,621,0,9.310235960347E12,1,14,14
1.2740742565847E13,8,645,0,9.310235960347E12,1,13,13
1.7420040592041E13,7,646,0,1.2740742565847E13,1,14,14
2.2637886627081E13,6,652,0,1.7420040592041E13,1,14,14
2.1685863024921E13,6,682,0,1.7420040592041E13,1,13,13
2.6115195316825E13,5,684,0,2.1685863024921E13,1,15,16
3.3730676213933E13,4,702,0,2.6115195316825E13,1,15,16
3.9156520243583E13,3,706,0,3.3730676213933E13,1,16,16
3.3752957510789E13,4,753,0,2.6115195316825E13,1,15,16
3.3752957510789E13,4,789,0,2.6115195316825E13,2,14,16
2.7476635679471E13,5,797,0,2.1685863024921E13,1,15,16
2.6115195316825E13,5,820,0,2.1685863024921E13,2,14,16
2.6115195316825E13,5,822,0,2.1685863024921E13,3,13,14
2.6115195316825E13,5,824,0,2.1685863024921E13,4,12,14
2.6115195316825E13,5,826,0,2.1685863024921E13,5,11,12
2.7366456730435E13,5,832,0,2.1685863024921E13,1,15,16
3.3162252539903E13,4,834,0,2.7366456730435E13,1,15,16
3.3162252539903E13,4,871,0,2.7366456730435E13,2,14,15
2.8162907263209E13,5,878,0,2.1685863024921E13,1,15,16
3.4326106367453E13,4,888,0,2.8162907263209E13,1,15,16
2.6921470064987E13,5,932,0,2.1685863024921E13,1,15,16
2.7233272559055E13,5,955,0,2.1685863024921E13,1,15,16
2.7476635679471E13,5,978,0,2.1685863024921E13,2,14,15
2.8162907263209E13,5,984,0,2.1685863024921E13,2,14,16
2.7476635679471E13,5,986,0,2.1685863024921E13,3,13,16
2.7476635679471E13,5,988,0,2.1685863024921E13,4,12,13
